,LID,blue,green,nir,obs_mgL,red,station,total,rb,rg,rn,gn,sp1,sp2,month
150,3,0.059,0.095,0.052,162.1623623,0.074,3,0.228,1.254237288,0.778947368,1.423076923,1.826923077,0.0845,0.830947368,3
151,5,0.102,0.134,0.093,190.3675704,0.115,3,0.351,1.12745098,0.858208955,1.23655914,1.440860215,0.1245,0.951208955,3
152,5,0.084,0.126,0.083,71.43440829,0.123,3,0.333,1.464285714,0.976190476,1.481927711,1.518072289,0.1245,1.059190476,5
153,5,0.107,0.14,0.11,72.77341102,0.135,3,0.382,1.261682243,0.964285714,1.227272727,1.272727273,0.1375,1.074285714,5
154,3,0.096,0.14,0.126,670.696648,0.155,3,0.391,1.614583333,1.107142857,1.23015873,1.111111111,0.1475,1.233142857,8
155,5,0.089,0.114,0.067,760.0009369,0.0945,3,0.2975,1.061797753,0.828947368,1.410447761,1.701492537,0.10425,0.895947368,2
156,3,0.051,0.08,0.037,760.0009369,0.067,3,0.198,1.31372549,0.8375,1.810810811,2.162162162,0.0735,0.8745,2
157,5,0.0625,0.091,0.0385,222.6730731,0.0675,3,0.221,1.08,0.741758242,1.753246753,2.363636364,0.07925,0.780258242,2
158,5,0.15,0.187,0.144,598.8452318,0.186,3,0.523,1.24,0.994652406,1.291666667,1.298611111,0.1865,1.138652406,9
159,5,0.108,0.157,0.136,1279.086595,0.165,3,0.43,1.527777778,1.050955414,1.213235294,1.154411765,0.161,1.186955414,10
160,3,0.078,0.124,0.084,459.9992989,0.137,3,0.339,1.756410256,1.10483871,1.630952381,1.476190476,0.1305,1.18883871,10
161,5,0.0765,0.1325,0.094,459.9992989,0.142,3,0.351,1.85620915,1.071698113,1.510638298,1.409574468,0.13725,1.165698113,10
162,3,0.073,0.114,0.067,364.6029399,0.123,3,0.31,1.684931507,1.078947368,1.835820896,1.701492537,0.1185,1.145947368,10
163,5,0.111,0.136,0.095,619.8630243,0.127,3,0.374,1.144144144,0.933823529,1.336842105,1.431578947,0.1315,1.028823529,11
164,3,0.088,0.134,0.099,539.1923214,0.135,3,0.357,1.534090909,1.007462687,1.363636364,1.353535354,0.1345,1.106462687,11
165,5,0.107,0.128,0.088,539.1923214,0.121,3,0.356,1.130841121,0.9453125,1.375,1.454545455,0.1245,1.0333125,11
166,5,0.071,0.1005,0.045,20.00030883,0.079,3,0.2505,1.112676056,0.786069652,1.755555556,2.233333333,0.08975,0.831069652,1
167,5,0.073,0.102,0.0555,29.99926694,0.0825,3,0.2575,1.130136986,0.808823529,1.486486486,1.837837838,0.09225,0.864323529,2
168,3,0.081,0.129,0.117,250,0.136,3,0.346,1.679012346,1.054263566,1.162393162,1.102564103,0.1325,1.171263566,4
169,5,0.114,0.15,0.134,310.0000606,0.153,3,0.417,1.342105263,1.02,1.141791045,1.119402985,0.1515,1.154,5
170,3,0.071,0.117,0.068,376.19025,0.124,3,0.312,1.746478873,1.05982906,1.823529412,1.720588235,0.1205,1.12782906,10
171,3,0.076,0.119,0.063,396.8690789,0.123,3,0.318,1.618421053,1.033613445,1.952380952,1.888888889,0.121,1.096613445,11
172,3,0.066,0.101,0.055,110.0013973,0.085,3,0.252,1.287878788,0.841584158,1.545454545,1.836363636,0.093,0.896584158,1
173,3,0.067,0.104,0.061,129.9999245,0.085,3,0.256,1.268656716,0.817307692,1.393442623,1.704918033,0.0945,0.878307692,1
174,3,0.101,0.117,0.059,90.00039617,0.096,3,0.314,0.95049505,0.820512821,1.627118644,1.983050847,0.1065,0.879512821,2
175,5,0.079,0.102,0.049,90.00039617,0.077,3,0.258,0.974683544,0.754901961,1.571428571,2.081632653,0.0895,0.803901961,2
176,5,0.101,0.123,0.072,120.0002906,0.1,3,0.324,0.99009901,0.81300813,1.388888889,1.708333333,0.1115,0.88500813,2
177,3,0.061,0.095,0.044,120.0002906,0.077,3,0.233,1.262295082,0.810526316,1.75,2.159090909,0.086,0.854526316,2
178,3,0.069,0.103,0.06,149.9997558,0.089,3,0.261,1.289855072,0.86407767,1.483333333,1.716666667,0.096,0.92407767,4
179,5,0.087,0.125,0.075,190.0000482,0.114,3,0.326,1.310344828,0.912,1.52,1.666666667,0.1195,0.987,4
180,3,0.076,0.11,0.058,208.7286633,0.099,3,0.285,1.302631579,0.9,1.706896552,1.896551724,0.1045,0.958,5
181,5,0.089,0.136,0.121,1369.999969,0.148,3,0.373,1.662921348,1.088235294,1.223140496,1.123966942,0.142,1.209235294,8
182,3,0.074,0.112,0.1,1064.844791,0.111,3,0.297,1.5,0.991071429,1.11,1.12,0.1115,1.091071429,9
183,5,0.084,0.126,0.095,603.2068,0.135,3,0.345,1.607142857,1.071428571,1.421052632,1.326315789,0.1305,1.166428571,9
184,3,0.092,0.127,0.129,603.2068,0.141,3,0.36,1.532608696,1.11023622,1.093023256,0.984496124,0.134,1.23923622,9
185,8,0.096,0.138,0.116,1057.313978,0.148,3,0.382,1.541666667,1.072463768,1.275862069,1.189655172,0.143,1.188463768,8
186,3,0.068,0.109,0.072,1212.668337,0.113,3,0.29,1.661764706,1.036697248,1.569444444,1.513888889,0.111,1.108697248,10
187,3,0.053,0.091,0.039,172.9630437,0.074,3,0.218,1.396226415,0.813186813,1.897435897,2.333333333,0.0825,0.852186813,2
188,8,0.098,0.117,0.065,191.3401715,0.089,3,0.304,0.908163265,0.760683761,1.369230769,1.8,0.103,0.825683761,2
189,8,0.074,0.092,0.04,191.4630358,0.067,3,0.233,0.905405405,0.72826087,1.675,2.3,0.0795,0.76826087,3
190,3,0.046,0.072,0.031,191.4630358,0.056,3,0.174,1.217391304,0.777777778,1.806451613,2.322580645,0.064,0.808777778,3
191,8,0.08,0.1285,0.0735,932.5554846,0.137,3,0.3455,1.7125,1.06614786,1.863945578,1.74829932,0.13275,1.13964786,9
192,3,0.075,0.123,0.097,1142.946602,0.137,3,0.335,1.826666667,1.113821138,1.412371134,1.268041237,0.13,1.210821138,9
193,3,0.066,0.108,0.063,831.9434126,0.114,3,0.288,1.727272727,1.055555556,1.80952381,1.714285714,0.111,1.118555556,10
194,8,0.087,0.119,0.06,831.9434126,0.118,3,0.324,1.356321839,0.991596639,1.966666667,1.983333333,0.1185,1.051596639,10
195,3,0.078,0.113,0.065,760.9506951,0.121,3,0.312,1.551282051,1.07079646,1.861538462,1.738461538,0.117,1.13579646,10
196,8,0.076,0.11,0.039,760.9506951,0.108,3,0.294,1.421052632,0.981818182,2.769230769,2.820512821,0.109,1.020818182,10
197,3,0.07,0.104,0.038,630.7896276,0.102,3,0.276,1.457142857,0.980769231,2.684210526,2.736842105,0.103,1.018769231,11
198,3,0.083,0.125,0.086,514.1485219,0.126,3,0.334,1.518072289,1.008,1.465116279,1.453488372,0.1255,1.094,11
199,8,0.063,0.0955,0.041,372.1511495,0.0815,3,0.24,1.293650794,0.853403141,1.987804878,2.329268293,0.0885,0.894403141,12
200,3,0.058,0.094,0.042,372.1511495,0.086,3,0.238,1.482758621,0.914893617,2.047619048,2.238095238,0.09,0.956893617,12
201,8,0.0875,0.1165,0.0445,384.9677632,0.095,3,0.299,1.085714286,0.815450644,2.134831461,2.617977528,0.10575,0.859950644,12
